id,name,host+AF8-id,host+AF8-name,neighbourhood+AF8-group,neighbourhood,latitude,longitude,room+AF8-type,price,minimum+AF8-nights,number+AF8-of+AF8-reviews,last+AF8-review,reviews+AF8-per+AF8-month,calculated+AF8-host+AF8-listings+AF8-count,availability+AF8-365
5994791,The best spot in west to discover Amsterdam+ACE-,6642215,Henk+AC0-Jan,,De Baarsjes +AC0- Oud+AC0-West,52.3704097477,4.861897579,Entire home/apt,139,2,35,2018+AC0-09+AC0-01,1.38,1,0
5995046,Luxury 2+AC0-4 persons canalhouse near Vondelpark,31127099,Arnoud,,De Baarsjes +AC0- Oud+AC0-West,52.3631349279,4.859276421,Entire home/apt,245,4,7,2016+AC0-05+AC0-18,0.16,1,64
5995500,House with a garden in Amsterdam,9462972,Myrthe,,De Baarsjes +AC0- Oud+AC0-West,52.364124007,4.8509602999,Private room,75,1,7,2015+AC0-08+AC0-21,0.16,1,0
5997037,Modern Large Apt. Amsterdam Center,31135321,Kees,,Centrum+AC0-West,52.3836957664,4.8864874649,Entire home/apt,150,20,48,2018+AC0-01+AC0-17,1.09,1,335
5999569,STYLISH APARTMENT NEARBY VONDELPARK AND MUSEUM SQ,31146232,Ad,,Zuid,52.3526124902,4.8612912841,Entire home/apt,139,2,40,2018+AC0-11+AC0-12,0.99,1,3
6002490,Spacious+ADs-modern and light apartment,23458775,Inez,,Westerpark,52.3913828403,4.8786425244,Entire home/apt,100,2,12,2016+AC0-07+AC0-10,0.3,1,0
6003515,Windmill View Apartment,399879,Tina,,Oud+AC0-Oost,52.3652937879,4.927185741,Entire home/apt,115,3,27,2018+AC0-06+AC0-02,0.61,3,0
6003944,Seas of Light/Vondelpark penthouse,31168044,Eric,,De Baarsjes +AC0- Oud+AC0-West,52.363641262,4.8630096763,Entire home/apt,120,4,21,2018+AC0-11+AC0-11,0.48,2,0
6007508,Bright Apartment in City Centre,5794480,Karen,,Centrum+AC0-Oost,52.369586185,4.9225067301,Entire home/apt,75,3,1,2015+AC0-04+AC0-27,0.02,1,0
6010587,Best spot in  Amsterdam+AC0-Jordaan,31202094,Karina,,Centrum+AC0-West,52.3766413911,4.8846724938,Private room,150,2,68,2018+AC0-11+AC0-19,1.54,2,301
6011262,+ACoAKg-Lovely +ACY- sunny on top location+ACoAKg-,31194610,An,,Zuid,52.3534861253,4.8846766007,Entire home/apt,250,3,21,2018+AC0-10+AC0-21,0.47,1,364
6012665,Lovely private room,23928874,Lieke,,De Pijp +AC0- Rivierenbuurt,52.3466301107,4.9044286313,Entire home/apt,115,2,122,2018+AC0-11+AC0-18,2.79,1,193
6014875,Spacious appartment near center,7500836,Martin,,De Baarsjes +AC0- Oud+AC0-West,52.3658450251,4.8766225149,Entire home/apt,135,3,26,2018+AC0-07+AC0-22,0.59,1,0
6015968,Nice apartment for 2 cat lovers in Vibrant West+ACE-,18534338,Mathieu,,De Baarsjes +AC0- Oud+AC0-West,52.3703750065,4.8511782755,Entire home/apt,92,5,7,2017+AC0-04+AC0-21,0.16,1,0
6016132,Light+ACY-spacious apartment (nogroups),31227603,Jolien,,Oostelijk Havengebied +AC0- Indische Buurt,52.3620894129,4.9334756133,Entire home/apt,250,5,22,2018+AC0-08+AC0-05,0.51,1,11
6016788,Charming Private Apartment+ADs- Nice Area,10958820,Marijke,,Oud+AC0-Noord,52.3860860531,4.9164635957,Private room,95,2,117,2018+AC0-12+AC0-02,2.72,1,75
6017649,Nice room at Vondelpark,1195000,Linda,,De Baarsjes +AC0- Oud+AC0-West,52.3599269689,4.8628596712,Private room,50,1,3,2015+AC0-06+AC0-08,0.07,1,0
6017676,Cozy apartment with parkview,8359122,Ferline,,De Baarsjes +AC0- Oud+AC0-West,52.3667730611,4.8503187029,Entire home/apt,105,2,15,2018+AC0-04+AC0-16,0.35,1,4
6021614,Sunny appartment in Amsterdam,30098889,Jurre,,De Pijp +AC0- Rivierenbuurt,52.3430597916,4.9039566838,Entire home/apt,120,2,14,2017+AC0-11+AC0-19,0.43,1,0
6022379,Be Home in A'dam Noord+frf//Q- parking,10507416,Reto +ACY- Tania,,Noord+AC0-West,52.4085471523,4.9018643108,Entire home/apt,115,3,37,2018+AC0-07+AC0-23,0.86,1,0
6022608,Lovely apartment,27704566,Anne,,Oostelijk Havengebied +AC0- Indische Buurt,52.3629852975,4.9349611762,Entire home/apt,225,2,8,2017+AC0-06+AC0-05,0.18,1,0
6024534,Stunning apt +AEA- heart of the city (Canal area),1474874,Roos,,Centrum+AC0-West,52.3676536281,4.8864264575,Entire home/apt,120,1,10,2016+AC0-04+AC0-11,0.23,1,6
